ID Commune;nb_menages;revenu_median;nb_personnes_Menage_fiscaux;Année
01325;379.0;24314.0;1010.0;2016
01328;204.0;25220.0;505.6435935198822;2021
01328;180.0;21971.0;483.0;2016
01329;75.0;20680.0;185.8983799705449;2021
01329;74.0;19573.0;142.0;2016
01330;78.0;21390.0;193.33431516936676;2021
01330;78.0;20469.0;174.0;2016
01331;76.0;24030.0;188.37702503681885;2021
01331;78.0;20917.0;187.0;2016
01332;328.0;25800.0;812.9955817378498;2021
01332;284.0;22153.0;758.0;2016
01333;1429.0;26550.0;3541.983799705449;2021
01333;1355.0;24310.0;3362.0;2016
01334;249.0;24370.0;617.1826215022091;2021
01334;225.0;21975.0;610.0;2016
01335;139.0;25930.0;344.5316642120766;2021
01335;131.0;21626.0;374.0;2016
01336;492.0;24070.0;1219.4933726067748;2021
01336;472.0;21427.0;1176.0;2016
01337;554.0;23070.0;1373.1693667157583;2021
01337;511.0;21335.0;1270.0;2016
01338;513.0;23430.0;1271.5449189985272;2021
01338;502.0;20945.0;1233.0;2016
01339;603.0;32220.0;1494.6229749631812;2021
01339;551.0;28208.0;1453.0;2016
01342;194.0;30350.0;480.8571428571429;2021
01342;189.0;25420.0;538.0;2016
01343;737.0;24170.0;1826.761413843888;2021
01343;680.0;21178.0;1769.0;2016
01344;2613.0;25580.0;6476.699558173786;2021
01344;2562.0;23258.0;6036.0;2016
01345;981.0;23670.0;2431.550810014728;2021
01345;965.0;21464.0;2280.0;2016
01346;347.0;24190.0;860.0898379970545;2021
01346;347.0;21013.0;865.0;2016
01347;826.0;28190.0;2047.360824742268;2021
01347;752.0;25567.0;2036.0;2016
01348;1226.0;23560.0;3038.818851251841;2021
01348;1143.0;21385.0;2748.0;2016
01349;213.0;26490.0;527.9513991163476;2021
01349;178.0;25939.0;484.0;2016
01350;1125.0;24380.0;2788.475699558174;2021
01350;1037.0;22505.0;2444.0;2016
01351;643.0;23960.0;1593.7687776141386;2021
01351;573.0;21183.0;1545.0;2016
01352;227.0;23260.0;562.6524300441827;2021
01352;222.0;19747.0;554.0;2016
01353;614.0;27990.0;1521.8880706921946;2021
01353;599.0;24979.0;1704.0;2016
01354;4661.0;30790.0;11552.964653902798;2021
01354;3737.0;29749.0;9200.0;2016
01355;209.0;24660.0;518.0368188512518;2021
01355;193.0;22370.0;459.0;2016
01356;84.0;25660.0;208.20618556701032;2021
01356;75.0;23440.0;206.0;2016
01357;197.0;21610.0;488.2930780559647;2021
01357;193.0;19813.0;443.0;2016
01358;177.0;23210.0;438.720176730486;2021
01358;176.0;21780.0;441.0;2016
01359;99.0;25790.0;245.3858615611193;2021
01359;94.0;23705.0;238.0;2016
01360;720.0;42220.0;1784.6244477172313;2021
01360;618.0;38170.0;1529.0;2016
01361;739.0;28140.0;1831.718703976436;2021
01361;568.0;26265.0;1525.0;2016
